hmp22,19,
hmp22,63,
meg558,9,
meg558,53,
ceb5874,22,
ceb5874,66,C7
sqm6177,66,C8
sqm6177,22,
jfs6382,5,
mem6675,5,
jfs6382,54,
mem6675,54,
jcc5890,25,
bxa5223,25,
bxa5223,70,
jcc5890,70,
pvp5313,15,
jpb6154,15,
jpb6154,59,
pvp5313,59,
cqo5133,4,
cfb5395,14,
mmh6228,3,
bdl5202,1,
jwm6402,11,
hrs5230,10,
kjb6226,19,
amn5741,5,
hvk5356,16,
gzt5128,8,
jme5646,19,
lpc5267,19,
cfh5312,9,
hkw5180,7,
mjw6197,18,
jvr5804,16,
evb5452,4,
rcs5560,1,
jmp6888,11,
brg16,15,
gsn6,5,
arm6181,2,
rmm5976,11,
ncy5022,2,
crm6009,18,
cqo5133,54,
cfb5395,65,C1
mmh6228,52,
bdl5202,47,
jwm6402,61,
hrs5230,58,
kjb6226,68,
amn5741,50,
hvk5356,64,
gzt5128,54,
jme5646,67,
lpc5267,68,
cfh5312,58,
hkw5180,48,
mjw6197,60,
jvr5804,59,
evb5452,49,
rcs5560,46,
jmp6888,56,
brg16,64,
gsn6,50,
arm6181,56,
rmm5976,46,
ncy5022,47,
crm6009,57,C6
afs5821,10,
afs5821,66,C9
emo5303,4,
emo5303,52,
oxb5059,2,
oxb5059,62,
cph5463,8,
cph5463,50,
mmh6059,14,
mmh6059,60,
rjb89,9,
rjb89,53,
ona5021,3,
ona5021,56,
ggp5037,4,
ggp5037,58,C7
hzb5194,14,
hzb5194,58,C8
bpk140,14,
bpk140,54,
sja5686,18,
sja5686,65,C2
trb46,16,
trb46,60,
rpu5029,16,
rpu5029,56,
eeh5307,10,
eeh5307,58,C16
ejk5511,10,
ejk5511,49,
egs5185,14,
egs5185,59,
aac5773,8,
aac5773,61,
fji5015,19,
fji5015,66,C10
jss5989,18,
jss5989,68,
pfb5127,7,
pfb5127,57,C3
cjk5872,18,
cjk5872,67,
aep5388,7,
aep5388,57,C4
jqm6252,14,
jqm6252,58,C9
jrk5792,6,
jrk5792,56,
gck5063,17,C1
gck5063,67,
ent5062,12,
ent5062,57,C5
reo5091,23,
reo5091,68,
heg5123,5,
heg5123,56,
scp5284,16,
scp5284,67,
jld6251,7,
jld6251,56,
sar5884,7,
sar5884,56,
mjc6835,18,
rjr5774,18,
mjc6835,69,
rjr5774,69,
lap5649,22,
lap5649,69,
mko5172,11,
mko5172,56,
smc6848,9,
aec5671,9,
smc6848,62,
aec5671,62,
ccs5474,25,
meo14,25,
ccs5474,67,
meo14,67,
csm5538,6,
csm5538,54,
mfm6002,14,
mfm6002,62,
lag57,12,
lag57,62,
kew5571,18,
kew5571,60,
aas5974,14,
aas5974,60,
tks5410,62,
tvn5039,22,
opm5068,18,
tvn5039,70,
opm5068,66,C11
sam7180,8,
sam7180,54,
aab453,8,
ges5315,14,
aab453,54,
ges5315,48,
kat5723,8,
kat5723,52,
wws5197,10,
wws5197,52,
ljb5741,12,
ljb5741,64,
njp5503,6,
njp5503,48,
sqg5619,8,
sqg5619,58,C10
trk5233,8,
trk5233,58,C11
mes6491,16,
mes6491,64,
arw5734,8,
arw5734,56,
jem6355,20,
jem6355,66,C12
avj5357,10,
avj5357,54,
kmg6238,12,
kmg6238,48,
mjm7858,2,
mjm7858,52,
mbs6155,6,
mbs6155,50,
pkm5170,8,
pkm5170,58,C12
hgg5043,4,
hgg5043,48,
aqr5709,6,
aqr5709,54,
npa5147,14,
npa5147,62,
ekk5209,62,
ekk5209,16,
hjt5146,8,
hjt5146,52,
kal5995,58,C13
kal5995,16,
ejm5882,16,
ejm5882,58,C14
jmr7537,64,
jmr7537,18,
mzk87,18,
mzk87,64,
drw5477,64,
drw5477,18,
jfp5556,50,
jfp5556,2,
cgh5165,18,
lrk5230,18,
sql5908,18,
sql5908,56,
lrk5230,58,C15
cgh5165,62,
khc5108,16,
khc5108,60,
llp5210,9,C1
llp5210,57,C1
cqo5133,6,
cqo5133,4,
alc6141,12,
alc6141,62,
wmv5027,12,
wmv5027,62,
cjk5872,18,
cjk5872,67,
cac6538,9,C2
cac6538,57,C2
blb5850,10,
blb5850,60,
jfk5571,4,
jfk5571,54,
nmp5392,7,
nmp5392,54,
fji5015,19,
fji5015,66,
csm5538,6,
csm5538,54,
tks5410,14,
tks5410,62,
amb8264,21,
amb8264,68,
jvs6630,21,
nlg29,21,
nlg29,68,
npm5297,21,
npm5297,62,
tks5410,14,
