"jvs6630,jkr5463",1,-2,90
"tsv5055,tjl32,eus288,azb5994",2,-2,90
"htd5063,alv5231",0,3,4
"htd5063,alv5231",0,39,40
"htd5063,alv5231",0,75,76
"htd5063,alv5231",0,81,82
"jvs6630,ren5090",1,-2,90
"mys5441,mzd5664",1,-2,90
"cac6538,kgp5082",1,-2,90
"cec57,sqk5947,tnb5265,cac6538,arb81,pmp22,kpo5118,amb9025,awt5364,vjw5090,kns36,aps6036,kmd6392,cew5516,kkr5352,bhb5105,aqm6242,kgp5082,rzs422,kgi5008,ckw5383,tcm5414,mmf5705,sjr5860,jag6930,crl5421",0,-2,9
"cec57,sqk5947,tnb5265,cac6538,arb81,pmp22,kpo5118,amb9025,awt5364,vjw5090,kns36,aps6036,kmd6392,cew5516,kkr5352,bhb5105,aqm6242,kgp5082,rzs422,kgi5008,ckw5383,tcm5414,mmf5705,sjr5860,jag6930,crl5421",0,25,57
"cec57,sqk5947,tnb5265,cac6538,arb81,pmp22,kpo5118,amb9025,awt5364,vjw5090,kns36,aps6036,kmd6392,cew5516,kkr5352,bhb5105,aqm6242,kgp5082,rzs422,kgi5008,ckw5383,tcm5414,mmf5705,sjr5860,jag6930,crl5421",0,73,90
"nmp5392,jpr307",1,-2,90
"mlf5523,ems6414",1,-2,90
jmb8188,0,-2,4
jmb8188,0,28,34
jmb8188,0,39,44
jmb8188,0,44,49
jmb8188,0,72,77
"dfn5104,kcw5246",0,14,15
elw5318,0,22,26
elw5318,0,38,42
elw5318,0,59,63
"ajp6414,nvc5307",1,-2,90
"axj5338,gjy5050",0,26,34
"kec5761,ejd5460",0,26,29
"axj5338,gjy5050",0,34,38
jmv5492,0,37,39
"axj5338,gjy5050",0,38,39
"llp5210,rrh5213",1,-2,90
tsv5055,0,26,29
"wmv5027,mrh5870",1,-2,90
"kmr70,apj5276,pen4,nbm5334,ara5548,ims5240,rmm6378,agy5038,gvw5064,mak6466,mrh5870,mtt5246,mbo5195",0,47,51
"kmh6778,hkc5236,kmc473,mrc5960,jcs6421,dkz5065,imp5137,knv5074,amm8777,hjw5229,cdc5592,ams9027",0,0,8
"kmh6778,hkc5236,kmc473,mrc5960,jcs6421,dkz5065,imp5137,knv5074,amm8777,hjw5229,cdc5592,ams9027",0,26,54
"hkc5236,dkz5065,amm8777,hjw5229",0,34,42
"npm5297,med5879",1,-2,90
"med5879,avo5273,bss5470,rza5350,tto5015,ehk5076",2,-2,90
"lam6360,tvb5452",1,-2,90
"zjc5181,aeg5583",1,-2,90
"csr66,pwo5051",1,-2,90
"kaw6183,srb5724",1,-2,90
"kme5444,jfg5487,adb5841,sjs6844,csr66,pwo5051",3,-2,90
"ktm5286,anr5529",1,-2,90
"ktm5286,ize5034",1,-2,90
"mth5398,ize5034",1,-2,90
"mth5398,anr5529",1,-2,90
"hcb5130,aat5284,kaw6183,rjm6483,srb5724",4,-2,90
"hcb5130,aat5284,med5879,kaw6183,avo5273,rjm6483,bss5470,rza5350,tto5015,ehk5076,srb5724",0,46,59
"kme5444,jfg5487,ktm5286,adb5841,sjs6844,mth5398,zjc5181,csr66,pwo5051,aeg5583",0,22,59
"npm5297,kme5444,jfg5487,lam6360,ktm5286,hcb5130,adb5841,sjs6844,mth5398,aat5284,med5879,zjc5181,kaw6183,avo5273,csr66,pwo5051,rjm6483,bss5470,rza5350,aeg5583,tto5015,ehk5076,srb5724,tvb5452",1,0,7
"aks6642,cep5439",0,28,31
"kds5613,kjh5886",0,41,54
"ijg5068,ekl5194,jjd6069,kar6177",0,41,47
"cpn5205,gxw5153",1,-2,90
amp472,0,30,33
"amb8264,kjh5886",1,-2,90
"blb5850,iqp5070,kdc5355",1,-2,90
blb5850,0,-2,10
blb5850,0,18,60
blb5850,0,68,90
"iqp5070,kdc5355",0,58,90
"iqp5070,kdc5355",1,53,54
"rkn5124,ajp6497",0,23,27
"gal5223,mms7188,ren5098,mml5983,mms7042,rxb372",2,-2,90
"aqk5789,ejb5841",1,-2,90
"kzg5391,dad5838",1,-2,90
"cfd5322,mat5816",1,-2,90
"mll56,eqs5507",1,-2,90
"gal5223,blb5850,iqp5070,pql5254,esm5332,ivj5055,kdc5355,mms7188,ren5098,esk5196,tzf19,rkn5124,mml5983,kzg5391,mms7042,dad5838,cfd5322,rxb372,mll56,eqs5507,mat5816,aqk5789,ejb5841,ajp6497",4,-2,90
ivj5055,0,35,37
"gal5223,ivj5055,mll56,eqs5507",1,56,62
"kmr70,apj5276,pen4,nbm5334,ara5548,ims5240,rmm6378,agy5038,gvw5064,mak6466,mrh5870,mtt5246,mbo5195",4,26,54
"kmr70,apj5276,pen4,nbm5334,ara5548,ims5240,rmm6378,agy5038,gvw5064,mak6466,mrh5870,mtt5246,mbo5195",4,0,8
pen4,0,24,28
pen4,0,72,76
"nlg29,mem6640",1,-2,90
"jma6277,mem6640,acn5203,sqs6805,jsj5246",3,-2,90
"adm5859,jkz5156,abr5650",2,-2,90
mem6640,0,48,52
"ces6070,pjl5355",0,11,20
"ces6070,pjl5355",0,51,60
"ces6070,pjl5355",0,75,76
"amb8264,amp472,sem56,ijg5068,kds5613,ekl5194,lkp5256,aks6642,kjh5886,jjd6069,ces6070,cpn5205,gxw5153,cep5439,pjl5355,kar6177",0,45,46
cij5110,0,45,46
"jqs6601,ejg5451",1,-2,90
"hmr5265,klb6324,nac5622,rjs91",2,-2,90
tsv5055,0,67,69
mem6640,0,0,8
